city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Sun City West,Sun City West,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.6693,-112.3575,25085,889,polygon,FALSE,FALSE,America/Phoenix,3,85375 85376,1840019312
Dolan Springs,Dolan Springs,AZ,Arizona,4015,Mohave,4015,Mohave,35.5904,-114.2852,2479,16,polygon,FALSE,FALSE,America/Phoenix,3,86441,1840019744
Marana,Marana,AZ,Arizona,4019,Pima,4019,Pima,32.4355,-111.1558,44792,142,polygon,FALSE,TRUE,America/Phoenix,3,85653 85741 85743 85742 85658 85652 85740,1840023057
San Miguel,San Miguel,AZ,Arizona,4019,Pima,4019,Pima,31.6295,-111.7801,297,20,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023076
Tusayan,Tusayan,AZ,Arizona,4005,Coconino,4005,Coconino,35.955,-112.1202,583,13,polygon,FALSE,TRUE,America/Phoenix,3,86023,1840018973
Holbrook,Holbrook,AZ,Arizona,4017,Navajo,4017,Navajo,34.9044,-110.1672,3797,112,polygon,FALSE,TRUE,America/Phoenix,3,86025,1840020334
Seven Mile,Seven Mile,AZ,Arizona,4017,Navajo,4017,Navajo,33.7882,-109.9576,748,127,polygon,FALSE,TRUE,America/Phoenix,3,85941 85926,1840027934
Wet Camp Village,Wet Camp Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.1413,-111.9004,351,30,polygon,FALSE,TRUE,America/Phoenix,3,85121,1840042806
Gilbert,Gilbert,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.3103,-111.7463,242354,1374,polygon,FALSE,TRUE,America/Phoenix,2,85233 85234 85297 85296 85295 85298 85236 85299,1840021947
Winkelman,Winkelman,AZ,Arizona,4007,Gila,04007|04021,Gila|Pinal,32.9853,-110.7651,347,174,polygon,FALSE,TRUE,America/Phoenix,3,85192,1840022859
Round Rock,Round Rock,AZ,Arizona,4001,Apache,4001,Apache,36.5044,-109.4616,725,19,polygon,FALSE,FALSE,America/Denver,3,86547,1840019001
St. Johns,St. Johns,AZ,Arizona,4001,Apache,4001,Apache,34.5018,-109.3784,2571,52,polygon,FALSE,TRUE,America/Phoenix,3,85936,1840021622
Six Shooter Canyon,Six Shooter Canyon,AZ,Arizona,4007,Gila,4007,Gila,33.3568,-110.772,963,127,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840075490
Aztec,Aztec,AZ,Arizona,4027,Yuma,4027,Yuma,32.8082,-113.4428,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85333,1840022977
Solomon,Solomon,AZ,Arizona,4009,Graham,4009,Graham,32.8138,-109.6291,424,786,polygon,FALSE,FALSE,America/Phoenix,3,85546 85551,1840022961
First Mesa,First Mesa,AZ,Arizona,4017,Navajo,4017,Navajo,35.8389,-110.3665,1928,47,polygon,FALSE,FALSE,America/Phoenix,3,86042,1840027978
Rock House,Rock House,AZ,Arizona,4007,Gila,4007,Gila,33.6318,-110.9456,61,38,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840038092
Springerville,Springerville,AZ,Arizona,4001,Apache,4001,Apache,34.156,-109.2989,1956,65,polygon,FALSE,TRUE,America/Phoenix,3,85938,1840022616
Steamboat,Steamboat,AZ,Arizona,4001,Apache,4001,Apache,35.7535,-109.8503,299,48,polygon,FALSE,FALSE,America/Denver,3,86505,1840019006
Morristown,Morristown,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.8549,-112.6138,158,75,polygon,FALSE,FALSE,America/Phoenix,3,85342,1840022924
Snowflake,Snowflake,AZ,Arizona,4017,Navajo,4017,Navajo,34.5223,-110.0914,6461,66,polygon,FALSE,TRUE,America/Phoenix,3,85937,1840022572
Corona de Tucson,Corona de Tucson,AZ,Arizona,4019,Pima,4019,Pima,31.9495,-110.7836,7583,480,polygon,FALSE,FALSE,America/Phoenix,3,85641,1840018106
Chuichu,Chuichu,AZ,Arizona,4021,Pinal,4021,Pinal,32.7403,-111.7821,414,23,polygon,FALSE,FALSE,America/Phoenix,3,85193,1840018028
Sunizona,Sunizona,AZ,Arizona,4003,Cochise,4003,Cochise,31.8841,-109.6328,196,8,polygon,FALSE,FALSE,America/Phoenix,3,85625,1840023092
Fort Valley,Fort Valley,AZ,Arizona,4005,Coconino,4005,Coconino,35.2554,-111.7253,1195,60,polygon,FALSE,TRUE,America/Phoenix,3,86001,1840075372
Paulden,Paulden,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.8899,-112.4938,5064,34,polygon,FALSE,FALSE,America/Phoenix,3,86323 86334,1840019162
Sedona,Sedona,AZ,Arizona,4005,Coconino,04005|04025,Coconino|Yavapai,34.8574,-111.7951,6967,209,polygon,FALSE,TRUE,America/Phoenix,3,86336 86339 86340,1840021584
Kaka,Kaka,AZ,Arizona,4013,Maricopa,4013,Maricopa,32.5113,-112.3168,114,172,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840022922
Flowing Springs,Flowing Springs,AZ,Arizona,4007,Gila,4007,Gila,34.3131,-111.3379,44,9,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027970
Village of Oak Creek,Village of Oak Creek,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7813,-111.7606,6436,472,polygon,FALSE,TRUE,America/Phoenix,3,86351 86341,1840036808
Bear Flat,Bear Flat,AZ,Arizona,4007,Gila,4007,Gila,34.2925,-111.0674,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027972
Concho,Concho,AZ,Arizona,4001,Apache,4001,Apache,34.4744,-109.6102,146,126,polygon,FALSE,FALSE,America/Phoenix,3,85924,1840022618
Queen Valley,Queen Valley,AZ,Arizona,4021,Pinal,4021,Pinal,33.283,-111.3049,654,25,polygon,FALSE,FALSE,America/Phoenix,3,85118,1840019360
Pinon,Pinon,AZ,Arizona,4017,Navajo,4017,Navajo,36.0992,-110.2209,830,49,polygon,FALSE,FALSE,America/Denver,3,86510,1840018964
Beaver Valley,Beaver Valley,AZ,Arizona,4007,Gila,4007,Gila,34.3409,-111.2987,166,42,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075250
Vernon,Vernon,AZ,Arizona,4001,Apache,4001,Apache,34.2508,-109.6926,38,25,polygon,FALSE,FALSE,America/Phoenix,3,85940,1840022629
Pinal,Pinal,AZ,Arizona,4007,Gila,4007,Gila,33.3799,-110.7571,660,621,polygon,FALSE,FALSE,America/Phoenix,3,85501,1840027956
Lake Havasu City,Lake Havasu City,AZ,Arizona,4015,Mohave,4015,Mohave,34.5006,-114.3113,55341,453,polygon,FALSE,TRUE,America/Los_Angeles,3,86403 86406 86404 86405,1840021044
Dripping Springs,Dripping Springs,AZ,Arizona,4007,Gila,4007,Gila,33.105,-110.7552,165,9,polygon,FALSE,TRUE,America/Phoenix,3,85192,1840075316
Vail,Vail,AZ,Arizona,4019,Pima,4019,Pima,32.0217,-110.6937,11735,199,polygon,FALSE,FALSE,America/Phoenix,3,85641 85744,1840019487
Tolani Lake,Tolani Lake,AZ,Arizona,4005,Coconino,4005,Coconino,35.4309,-110.8431,330,298,polygon,FALSE,FALSE,America/Denver,3,86047,1840022591
Parker Strip,Parker Strip,AZ,Arizona,4012,La Paz,4012,La Paz,34.2803,-114.1269,652,80,polygon,FALSE,FALSE,America/Phoenix,3,85344,1840019267
Woodruff,Woodruff,AZ,Arizona,4017,Navajo,4017,Navajo,34.7843,-110.0366,126,8,polygon,FALSE,FALSE,America/Phoenix,3,85942 86025,1840022588
Sonoita,Sonoita,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.6645,-110.6426,850,31,polygon,FALSE,FALSE,America/Phoenix,3,85637,1840019536
Ali Molina,Ali Molina,AZ,Arizona,4019,Pima,4019,Pima,31.9025,-111.7804,63,31,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023062
Tacna,Tacna,AZ,Arizona,4027,Yuma,4027,Yuma,32.7004,-113.9618,742,149,polygon,FALSE,FALSE,America/Phoenix,3,85352 85347,1840019357
Whiteriver,Whiteriver,AZ,Arizona,4017,Navajo,4017,Navajo,33.8358,-109.9616,4198,103,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840018966
Leupp,Leupp,AZ,Arizona,4005,Coconino,4005,Coconino,35.2966,-111.0028,1295,36,polygon,FALSE,FALSE,America/Denver,3,86035 86004,1840017665
Wenden,Wenden,AZ,Arizona,4012,La Paz,4012,La Paz,33.8324,-113.5433,360,9,polygon,FALSE,FALSE,America/Phoenix,3,85357,1840019270
Topawa,Topawa,AZ,Arizona,4019,Pima,4019,Pima,31.8078,-111.8304,143,10,polygon,FALSE,FALSE,America/Phoenix,3,85634 85639,1840023079
Patagonia,Patagonia,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.5436,-110.7477,880,263,polygon,FALSE,TRUE,America/Phoenix,3,85624,1840023118
Tombstone,Tombstone,AZ,Arizona,4003,Cochise,4003,Cochise,31.7234,-110.0798,1296,54,polygon,FALSE,TRUE,America/Phoenix,3,85638,1840022104
Top-of-the-World,Top-of-the-World,AZ,Arizona,4021,Pinal,04021|04007,Pinal|Gila,33.3477,-110.9997,325,20,polygon,FALSE,FALSE,America/Phoenix,3,85539 85501,1840027983
Rincon Valley,Rincon Valley,AZ,Arizona,4019,Pima,4019,Pima,32.1101,-110.6889,6151,93,polygon,FALSE,TRUE,America/Phoenix,3,85747 85641,1840038089
Ak Chin,Ak Chin,AZ,Arizona,4019,Pima,4019,Pima,32.2873,-112.0091,33,24,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023059
Valencia West,Valencia West,AZ,Arizona,4019,Pima,4019,Pima,32.1354,-111.1124,11468,447,polygon,FALSE,TRUE,America/Phoenix,3,85757,1840074666
Willow Canyon,Willow Canyon,AZ,Arizona,4019,Pima,4019,Pima,32.3881,-110.7009,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85619,1840023083
Ko Vaya,Ko Vaya,AZ,Arizona,4019,Pima,4019,Pima,32.0815,-111.8959,8,2,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023072
Dewey-Humboldt,Dewey-Humboldt,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.5174,-112.2498,4064,84,polygon,FALSE,TRUE,America/Phoenix,3,86329 86327,1840021771
Mescal,Mescal,AZ,Arizona,4003,Cochise,4003,Cochise,31.9674,-110.4367,1509,119,polygon,FALSE,FALSE,America/Phoenix,3,85602,1840023088
Del Muerto,Del Muerto,AZ,Arizona,4001,Apache,4001,Apache,36.187,-109.4348,341,132,polygon,FALSE,FALSE,America/Denver,3,86503,1840027931
Colorado City,Colorado City,AZ,Arizona,4015,Mohave,4015,Mohave,36.9774,-112.983,8259,180,polygon,FALSE,TRUE,America/Phoenix,3,86021,1840023170
Morenci,Morenci,AZ,Arizona,4011,Greenlee,4011,Greenlee,33.0531,-109.3307,1689,678,polygon,FALSE,FALSE,America/Phoenix,3,85540,1840019339
Fort Apache,Fort Apache,AZ,Arizona,4017,Navajo,4017,Navajo,33.7907,-109.9873,186,63,polygon,FALSE,FALSE,America/Phoenix,3,85926,1840022575
Nazlini,Nazlini,AZ,Arizona,4001,Apache,4001,Apache,35.9156,-109.4726,469,24,polygon,FALSE,FALSE,America/Denver,3,86540,1840018997
Bylas,Bylas,AZ,Arizona,4009,Graham,4009,Graham,33.1292,-110.1162,1834,169,polygon,FALSE,FALSE,America/Phoenix,3,85530,1840022957
Picture Rocks,Picture Rocks,AZ,Arizona,4019,Pima,4019,Pima,32.3274,-111.2558,8666,47,polygon,FALSE,FALSE,America/Phoenix,3,85653 85743,1840019482
Wittmann,Wittmann,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.775,-112.5251,607,242,polygon,FALSE,FALSE,America/Phoenix,3,85361,1840022928
Wheatfields,Wheatfields,AZ,Arizona,4007,Gila,4007,Gila,33.4805,-110.8366,466,22,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840075566
Sun City,Sun City,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.6165,-112.2819,39000,1044,polygon,FALSE,FALSE,America/Phoenix,3,85351 85373 85372,1840019311
Tucson,Tucson,AZ,Arizona,4019,Pima,4019,Pima,32.1545,-110.8782,868391,868,polygon,FALSE,TRUE,America/Phoenix,2,85705 85707 85706 85756 85723 85726 85724 85701 85708 85711 85748 85745 85747 85716 85714 85715 85712 85713 85710 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775,1840022101
Quartzsite,Quartzsite,AZ,Arizona,4012,La Paz,4012,La Paz,33.6675,-114.217,3357,39,polygon,FALSE,TRUE,America/Phoenix,3,85346 85359,1840021913
Eloy,Eloy,AZ,Arizona,4021,Pinal,4021,Pinal,32.747,-111.5991,19168,65,polygon,FALSE,TRUE,America/Phoenix,3,85131 85194 85193 85123,1840020628
Hotevilla-Bacavi,Hotevilla-Bacavi,AZ,Arizona,4017,Navajo,4017,Navajo,35.9225,-110.6569,1250,41,polygon,FALSE,TRUE,America/Phoenix,3,86030,1840027979
Second Mesa,Second Mesa,AZ,Arizona,4017,Navajo,4017,Navajo,35.8222,-110.4884,1695,16,polygon,FALSE,FALSE,America/Phoenix,3,86043,1840018965
Cactus Flats,Cactus Flats,AZ,Arizona,4009,Graham,4009,Graham,32.7642,-109.7205,1423,89,polygon,FALSE,TRUE,America/Phoenix,3,85546 85548,1840001823
St. Michaels,St. Michaels,AZ,Arizona,4001,Apache,4001,Apache,35.6606,-109.0962,1245,125,polygon,FALSE,FALSE,America/Denver,3,86511,1840019002
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.5722,-112.0891,4081849,1212,polygon,FALSE,TRUE,America/Phoenix,1,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840020568
Cane Beds,Cane Beds,AZ,Arizona,4015,Mohave,4015,Mohave,36.9341,-112.9118,395,18,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840023173
Kykotsmovi Village,Kykotsmovi Village,AZ,Arizona,4017,Navajo,4017,Navajo,35.8576,-110.6338,791,18,polygon,FALSE,FALSE,America/Phoenix,3,86039 86030,1840017660
Cornville,Cornville,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7389,-111.9086,3167,92,polygon,FALSE,FALSE,America/Phoenix,3,86325,1840017842
Doney Park,Doney Park,AZ,Arizona,4005,Coconino,4005,Coconino,35.2687,-111.5053,5522,142,polygon,FALSE,TRUE,America/Phoenix,3,86004,1840075310
Deer Creek,Deer Creek,AZ,Arizona,4007,Gila,4007,Gila,34.0644,-111.3505,185,40,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075296
Catalina,Catalina,AZ,Arizona,4019,Pima,4019,Pima,32.4849,-110.8996,7751,212,polygon,FALSE,FALSE,America/Phoenix,3,85739,1840018109
Goodyear,Goodyear,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.2614,-112.3622,79858,161,polygon,FALSE,TRUE,America/Phoenix,3,85139 85338 85326 85340 85395,1840020564
Youngtown,Youngtown,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.5846,-112.3047,6760,1755,polygon,FALSE,TRUE,America/Phoenix,3,85363,1840022917
Fort Mohave,Fort Mohave,AZ,Arizona,4015,Mohave,4015,Mohave,35.0004,-114.5748,14583,337,polygon,FALSE,TRUE,America/Phoenix,3,86426 86427,1840042961
Payson,Payson,AZ,Arizona,4007,Gila,4007,Gila,34.2434,-111.3195,14412,309,polygon,FALSE,TRUE,America/Phoenix,3,85541 85547,1840022857
Wahak Hotrontk,Wahak Hotrontk,AZ,Arizona,4019,Pima,4019,Pima,32.1748,-112.3663,122,30,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023081
Shongopovi,Shongopovi,AZ,Arizona,4017,Navajo,4017,Navajo,35.8195,-110.5331,1067,259,polygon,FALSE,FALSE,America/Phoenix,3,86043,1840136204
Pine,Pine,AZ,Arizona,4007,Gila,4007,Gila,34.3788,-111.4574,1591,18,polygon,FALSE,FALSE,America/Phoenix,3,85544,1840019262
Indian Wells,Indian Wells,AZ,Arizona,4017,Navajo,4017,Navajo,35.4089,-110.1061,275,10,polygon,FALSE,FALSE,America/Denver,3,86031,1840022577
Benson,Benson,AZ,Arizona,4003,Cochise,4003,Cochise,31.9157,-110.3256,3824,44,polygon,FALSE,TRUE,America/Phoenix,3,85602 85630,1840019494
Franklin,Franklin,AZ,Arizona,4011,Greenlee,4011,Greenlee,32.677,-109.072,37,14,polygon,FALSE,FALSE,America/Phoenix,3,85534,1840022950
Yarnell,Yarnell,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.2283,-112.7631,658,28,polygon,FALSE,FALSE,America/Phoenix,3,85362,1840019167
Blackwater,Blackwater,AZ,Arizona,4021,Pinal,4021,Pinal,33.0396,-111.5798,1653,35,polygon,FALSE,FALSE,America/Phoenix,3,85128,1840018031
Vicksburg,Vicksburg,AZ,Arizona,4012,La Paz,4012,La Paz,33.7293,-113.8254,963,2,polygon,FALSE,FALSE,America/Phoenix,3,85325 85348,1840022880
Low Mountain,Low Mountain,AZ,Arizona,4017,Navajo,4017,Navajo,35.9481,-110.0981,623,6,polygon,FALSE,FALSE,America/Denver,3,86520 86510 86034,1840022581
Wikieup,Wikieup,AZ,Arizona,4015,Mohave,4015,Mohave,34.6931,-113.5995,134,11,polygon,FALSE,FALSE,America/Phoenix,3,85360,1840023189
Moccasin,Moccasin,AZ,Arizona,4015,Mohave,4015,Mohave,36.9099,-112.7546,0,0,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840023183
Valle,Valle,AZ,Arizona,4005,Coconino,4005,Coconino,35.6245,-112.135,185,0,polygon,FALSE,FALSE,America/Phoenix,3,86046,1840022592
Pirtleville,Pirtleville,AZ,Arizona,4003,Cochise,4003,Cochise,31.3613,-109.5661,1838,380,polygon,FALSE,FALSE,America/Phoenix,3,85626 85607,1840019492
Whitecone,Whitecone,AZ,Arizona,4017,Navajo,4017,Navajo,35.6037,-110.0791,847,7,polygon,FALSE,TRUE,America/Denver,3,86031 86034,1840027881
Green Valley,Green Valley,AZ,Arizona,4019,Pima,4019,Pima,31.8437,-111.0172,21912,262,polygon,FALSE,FALSE,America/Phoenix,3,85622 85614,1840018111
Beyerville,Beyerville,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.3921,-110.8748,219,253,polygon,FALSE,FALSE,America/Phoenix,3,85621,1840023119
Tubac,Tubac,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.6111,-111.0585,1365,48,polygon,FALSE,FALSE,America/Phoenix,3,85640 85646,1840019537
San Manuel,San Manuel,AZ,Arizona,4021,Pinal,4021,Pinal,32.6091,-110.6415,3714,69,polygon,FALSE,FALSE,America/Phoenix,3,85631,1840019362
Fort Defiance,Fort Defiance,AZ,Arizona,4001,Apache,4001,Apache,35.7469,-109.0685,4118,261,polygon,FALSE,FALSE,America/Denver,3,86504,1840017675
Cutter,Cutter,AZ,Arizona,4007,Gila,4007,Gila,33.3584,-110.6593,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85550,1840022863
Tonto Village,Tonto Village,AZ,Arizona,4007,Gila,4007,Gila,34.3198,-111.1393,368,425,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022868
Casa Grande,Casa Grande,AZ,Arizona,4021,Pinal,4021,Pinal,32.9068,-111.7624,58632,193,polygon,FALSE,TRUE,America/Phoenix,3,85194 85193 85122 85130,1840019364
Star Valley,Star Valley,AZ,Arizona,4007,Gila,4007,Gila,34.2611,-111.2197,2287,24,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840022858
Casa Blanca,Casa Blanca,AZ,Arizona,4021,Pinal,4021,Pinal,33.1154,-111.908,1189,29,polygon,FALSE,FALSE,America/Phoenix,3,85121,1840025877
Cornfields,Cornfields,AZ,Arizona,4001,Apache,4001,Apache,35.6513,-109.6759,373,372,polygon,FALSE,FALSE,America/Denver,3,86505,1840022619
Avenue B and C,Avenue B and C,AZ,Arizona,4027,Yuma,4027,Yuma,32.7192,-114.6597,3444,1809,polygon,FALSE,TRUE,America/Phoenix,3,85364,1840075233
El Mirage,El Mirage,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.5905,-112.3271,35216,1374,polygon,FALSE,TRUE,America/Phoenix,3,85335,1840020562
Kohatk,Kohatk,AZ,Arizona,4021,Pinal,4021,Pinal,32.5782,-112.0033,20,78,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840022983
Summerhaven,Summerhaven,AZ,Arizona,4019,Pima,4019,Pima,32.4416,-110.7766,189,16,polygon,FALSE,FALSE,America/Phoenix,3,85619,1840023078
Dennehotso,Dennehotso,AZ,Arizona,4001,Apache,4001,Apache,36.8209,-109.879,792,30,polygon,FALSE,FALSE,America/Denver,3,86535,1840018995
Hard Rock,Hard Rock,AZ,Arizona,4017,Navajo,4017,Navajo,36.0309,-110.5048,85,5,polygon,FALSE,TRUE,America/Denver,3,86039,1840075388
